Degree,Starting Salary,Mid-Career Salary,% Increase
Aerospace engineering,59400,108000,82
Applied mathematics,56400,101000,79
Biomedical engineering,54800,101000,84
Chemical engineering,64800,108000,67
Civil engineering,53500,93400,75
Computer engineering,61200,87700,43
Computer science,56200,97700,74
Construction Management,50400,87000,73
Economics,48800,97800,100
Electrical engineering,60800,104000,71
Finance,47500,91500,93
Government,41500,88300,113
Information systems,49300,87100,77
Management info. systems,50900,90300,77
Mathematics,46400,88300,90
Nuclear engineering,63900,104000,63
Petroleum engineering,93000,157000,69
Physics,50700,99600,96
Software engineering,56700,91300,61
Statistics,50000,93400,87
